epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2757.93,0.72405,0.967,1.20467,0.69115,0.69436,0.76747,0.64596,0.61163,1.01946,1.11764,0.00040707,0.00040707,0.00040707
66,2799.38,0.71181,0.97631,1.20248,0.68418,0.72683,0.75942,0.64897,0.60062,1.02881,1.10941,0.000396071,0.000396071,0.000396071
67,2843.46,0.69971,0.94931,1.19215,0.75234,0.7296,0.78992,0.66545,0.60065,0.92538,1.12053,0.000385073,0.000385073,0.000385073
68,2884.06,0.70159,0.95705,1.20204,0.74434,0.74006,0.78204,0.66708,0.59438,0.91401,1.11235,0.000374074,0.000374074,0.000374074
69,2926.61,0.71394,0.93224,1.19828,0.77418,0.71679,0.80077,0.67668,0.59881,0.91055,1.11682,0.000363075,0.000363075,0.000363075
70,2968.45,0.69839,0.92494,1.19314,0.79446,0.70858,0.78364,0.66376,0.60081,0.90391,1.10651,0.000352076,0.000352076,0.000352076
71,3009.44,0.70157,0.93869,1.20318,0.77216,0.75265,0.80954,0.68218,0.6278,0.89994,1.12958,0.000341077,0.000341077,0.000341077
72,3053.05,0.68654,0.89222,1.17629,0.80594,0.71676,0.7913,0.66939,0.62028,0.92979,1.12876,0.000330078,0.000330078,0.000330078
73,3094.4,0.69244,0.9037,1.1852,0.79127,0.72163,0.79535,0.6905,0.56975,0.91624,1.06865,0.000319079,0.000319079,0.000319079
74,3137.13,0.68485,0.90089,1.18266,0.7319,0.77435,0.78747,0.66542,0.60404,0.89715,1.10973,0.00030808,0.00030808,0.00030808
75,3179.03,0.68234,0.90863,1.17985,0.78105,0.70826,0.79032,0.68383,0.58708,0.8931,1.09243,0.000297081,0.000297081,0.000297081
76,3220.06,0.67266,0.88262,1.17303,0.80115,0.73126,0.7974,0.68284,0.58108,0.85726,1.08619,0.000286083,0.000286083,0.000286083
77,3263.92,0.67931,0.86735,1.17703,0.75035,0.73116,0.78569,0.67432,0.59513,0.93851,1.10646,0.000275084,0.000275084,0.000275084
78,3304.46,0.66229,0.87768,1.16531,0.77958,0.72693,0.80048,0.68845,0.5966,0.89898,1.1075,0.000264085,0.000264085,0.000264085
79,3347.52,0.66963,0.86482,1.17152,0.78143,0.72742,0.80256,0.69404,0.57104,0.88179,1.0736,0.000253086,0.000253086,0.000253086
80,3389.7,0.66194,0.83803,1.16843,0.80619,0.74118,0.81899,0.7079,0.58876,0.83024,1.09612,0.000242087,0.000242087,0.000242087
81,3430.27,0.65676,0.85464,1.17106,0.78224,0.71162,0.80101,0.6892,0.57638,0.86823,1.08952,0.000231088,0.000231088,0.000231088
82,3474.63,0.65006,0.84657,1.15599,0.74747,0.75321,0.80663,0.70099,0.56177,0.85963,1.07221,0.000220089,0.000220089,0.000220089
83,3515.65,0.64852,0.82898,1.15459,0.79731,0.75586,0.80797,0.69926,0.56766,0.83692,1.08071,0.00020909,0.00020909,0.00020909
84,3557.86,0.65128,0.82145,1.16105,0.75012,0.77074,0.80813,0.70035,0.57445,0.85503,1.08457,0.000198091,0.000198091,0.000198091
85,3600.85,0.64186,0.81577,1.15226,0.7793,0.74491,0.81197,0.70231,0.56372,0.82353,1.08103,0.000187092,0.000187092,0.000187092
86,3641.5,0.63657,0.79668,1.14248,0.83713,0.73759,0.81383,0.7093,0.57428,0.83034,1.07941,0.000176094,0.000176094,0.000176094
87,3685.59,0.62271,0.78087,1.14443,0.81115,0.73942,0.80428,0.70122,0.56045,0.82827,1.07988,0.000165095,0.000165095,0.000165095
88,3727.13,0.63085,0.80237,1.15064,0.82189,0.76236,0.81854,0.70764,0.55275,0.81634,1.07369,0.000154096,0.000154096,0.000154096
89,3768.07,0.63054,0.79765,1.15804,0.78851,0.78111,0.81682,0.71273,0.55192,0.78905,1.06886,0.000143097,0.000143097,0.000143097
90,3812.57,0.62335,0.77725,1.13934,0.82527,0.74069,0.82558,0.71631,0.55892,0.80596,1.07218,0.000132098,0.000132098,0.000132098
91,3854.02,0.50623,0.51306,1.09263,0.78076,0.75995,0.81415,0.7036,0.58128,0.82621,1.09729,0.000121099,0.000121099,0.000121099
92,3894.86,0.49396,0.46178,1.0714,0.77542,0.76962,0.81052,0.7017,0.57054,0.83476,1.08798,0.0001101,0.0001101,0.0001101
93,3937.5,0.48457,0.44201,1.06402,0.77153,0.76146,0.80157,0.69517,0.55926,0.85462,1.07627,9.91012e-05,9.91012e-05,9.91012e-05
94,3978.1,0.48031,0.43712,1.05714,0.79597,0.72917,0.80805,0.70708,0.55282,0.82555,1.07893,8.81023e-05,8.81023e-05,8.81023e-05
95,4017.83,0.46571,0.42062,1.05151,0.79351,0.76278,0.80809,0.70691,0.54607,0.82016,1.06869,7.71034e-05,7.71034e-05,7.71034e-05
96,4058.24,0.45902,0.40341,1.05706,0.82748,0.71854,0.82007,0.72354,0.54456,0.80688,1.06823,6.61045e-05,6.61045e-05,6.61045e-05
97,4100.68,0.46272,0.40377,1.05297,0.82943,0.72461,0.82022,0.72606,0.53697,0.80633,1.05949,5.51056e-05,5.51056e-05,5.51056e-05
98,4140.58,0.44312,0.39252,1.03673,0.81501,0.71092,0.81424,0.72404,0.53333,0.82447,1.0603,4.41067e-05,4.41067e-05,4.41067e-05
99,4180.51,0.44589,0.39684,1.04883,0.83958,0.71061,0.81331,0.72176,0.53638,0.80481,1.06195,3.31078e-05,3.31078e-05,3.31078e-05
100,4221.88,0.44624,0.39667,1.03264,0.78972,0.74268,0.81689,0.72061,0.53236,0.79684,1.05724,2.21089e-05,2.21089e-05,2.21089e-05
